SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
PE,24791,MACAPARANA,90,41.06323246002396,19201,10111,9090,1,20,100,1235,6951,289,16,121,3845,114,1,1,78,3,389,1547
SC,80250,ARAQUARI,27,42.319433198380565,19760,9803,9957,2,0,0,0,3277,0,0,0,10771,0,0,0,0,0,319,786
SE,31470,GENERAL MAYNARD,14,41.118709181713406,2603,1294,1309,1,5,13,168,1215,86,9,13,421,11,1,0,14,12,60,187
RS,86800,HULHA NEGRA,142,43.68055555555556,4608,2282,2326,1,8,19,333,1910,199,14,39,1132,17,0,1,14,3,116,130
CE,15610,SOLONÓPOLE,55,45.076264906016306,14843,7577,7253,1,5,30,4661,4304,65,26,42,1024,16,0,1,20,2,134,404
MG,52817,SÃO PEDRO DO SUAÇUÍ,212,44.792057604189395,4583,2326,2252,2,0,0,0,1636,0,0,0,1064,0,0,0,0,0,54,397
MA,7900,MARAJÁ DO SENA,102,38.53826968043648,6416,2789,3625,2,0,0,0,3643,0,0,0,654,0,0,0,0,0,23,86
RN,16055,AFONSO BEZERRA,18,41.78243534482758,9280,4761,4519,2,0,0,0,4917,0,0,0,1363,0,0,0,0,0,93,373
RS,86770,GETÚLIO VARGAS,70,47.16518024432287,13343,6997,6346,2,0,0,0,2639,0,0,0,7244,0,0,0,0,0,269,596
MG,41157,TRÊS MARIAS,309,43.70666267277162,23372,11876,11485,1,66,77,1124,4486,1195,53,147,7928,436,2,1,122,10,511,1290
MA,7854,GONÇALVES DIAS,108,43.790804418857945,12854,6542,6308,1,0,54,706,5914,80,12,82,1448,12,1,3,19,6,107,585
SP,61239,ÁLVARES FLORENCE,147,47.9319075712881,4068,1954,2113,1,5,6,146,390,397,8,29,1661,50,2,0,8,0,103,165
SP,65056,IGARATÁ,115,44.41823708206687,8225,4104,4121,1,49,37,439,630,979,26,67,3301,158,1,4,50,4,199,411
SP,70416,SANTA MARIA DA SERRA,130,43.608706166868195,4135,2070,2065,1,10,13,131,432,389,4,24,1733,35,2,0,18,2,139,279
SC,83798,VIDEIRA,36,43.50321285140562,37351,19424,17927,2,0,0,0,6117,0,0,0,21129,0,0,0,0,0,664,1577
SC,83054,SANTA CECÍLIA,51,41.8823214558801,13078,6572,6506,2,0,0,0,3233,0,0,0,5461,0,0,0,0,0,367,513
CE,15717,TRAIRI,97,41.09583508832784,40362,20603,19759,1,33,306,11818,14601,312,29,170,4578,64,0,3,77,12,690,1439
PR,79138,TEIXEIRA SOARES,53,42.693427731765965,7486,3663,3823,2,0,0,0,2475,0,0,0,3431,0,0,0,0,0,103,273
SC,80845,OURO VERDE,71,44.063235294117646,2040,983,1057,2,0,0,0,562,0,0,0,925,0,0,0,0,0,34,65
PI,12360,COCAL DE TELHA,71,42.61833417978669,3938,2058,1880,1,5,24,203,2565,32,12,25,180,6,0,1,5,2,45,218
MG,45853,IAPU,128,45.62076296208811,8468,4319,4140,1,48,55,383,1901,292,8,70,2939,93,2,1,55,2,151,432
SP,66397,LIMEIRA,66,46.10223771757985,115879,60275,55314,2,0,0,0,14132,0,0,0,68329,0,0,0,0,0,2070,6765
MG,41874,BURITIZEIRO,218,43.418476838523944,19107,9546,9552,2,0,0,0,6497,0,0,0,4703,0,0,0,0,0,295,1798
GO,94196,ITAPURANGA,77,45.003445096802366,20611,10870,9741,1,56,133,1302,5296,812,55,290,7445,177,3,9,81,4,423,1029
SP,61190,ALTINÓPOLIS,202,43.898549434902556,11237,5757,5480,1,39,56,731,1464,1393,60,101,4179,200,3,6,69,1,455,639
MG,42153,CAMPANÁRIO,136,42.851502651738365,3394,1733,1659,2,0,0,0,1195,0,0,0,728,0,0,0,0,0,34,240
RJ,60011,RIO DE JANEIRO,162,48.77664083171377,128122,69393,58716,2,0,0,0,28749,0,0,0,54499,0,0,0,0,0,2267,9342
SE,31437,FEIRA NOVA,16,39.79511928610454,5491,2852,2639,2,0,0,0,3222,0,0,0,792,0,0,0,0,0,46,320
RO,671,CAMPO NOVO DE RONDÔNIA,34,41.08621553884712,7980,3746,4234,1,82,38,255,1597,341,23,78,3265,55,0,1,17,1,77,199
RS,86576,FAXINAL DO SOTURNO,119,46.92877646214568,5575,2869,2706,1,17,16,453,1174,201,8,117,2334,96,5,0,14,1,150,126
PB,20451,ITATUBA,8,41.62265604931929,7786,4035,3751,1,9,30,600,3624,112,1,123,1359,22,0,1,14,1,215,670
GO,95710,RIO VERDE,140,41.02592736797395,56504,29248,27256,2,0,0,0,12278,0,0,0,29800,0,0,0,0,0,853,2246
RS,88269,CHUVISCA,12,43.02716049382716,4050,1930,2120,2,0,0,0,1080,0,0,0,2172,0,0,0,0,0,149,148
RS,86835,GRAVATAÍ,173,44.44547367592975,101695,53544,48151,1,499,586,9546,10683,3632,608,1876,43882,2098,33,29,831,75,3569,3393
SP,69353,QUATÁ,106,42.55160142348755,9554,4826,4728,2,0,0,0,1869,0,0,0,5221,0,0,0,0,0,204,726
RS,87670,NOVA PETRÓPOLIS,129,44.91428571428571,15540,8037,7503,2,0,0,0,2172,0,0,0,10608,0,0,0,0,0,304,801
PE,25313,RECIFE,7,44.07690969873814,103499,57933,45566,1,304,1337,16379,24372,1454,739,718,32418,1930,18,14,1386,48,2271,6661
MG,41068,MIRAVÂNIA,166,43.90158486707566,3912,1941,1971,2,0,0,0,1623,0,0,0,522,0,0,0,0,0,28,236
RS,88102,VILA NOVA DO SUL,82,48.055144968732236,3518,1772,1746,1,11,15,307,892,164,3,84,1036,28,1,1,9,2,172,117
PR,75132,COLOMBO,49,41.80225231646472,70150,37010,33140,1,3309,477,4712,8419,1972,284,799,32040,1699,26,34,614,26,2175,3079
ES,56855,PRESIDENTE KENNEDY,43,41.40589631252282,10959,5619,5340,1,68,150,350,2629,453,20,69,4871,78,1,5,90,2,201,365
PE,25356,RIBEIRÃO,28,41.39558187201093,26346,14250,12096,2,0,0,0,14120,0,0,0,5563,0,0,0,0,0,287,1594
PA,4383,NOVO PROGRESSO,91,40.821546961325964,19910,9240,10670,2,0,0,0,2638,0,0,0,9454,0,0,0,0,0,145,545
SP,69051,PONTAL,135,42.51520740660374,27653,13862,13790,2,0,0,0,5791,0,0,0,12077,0,0,0,0,0,703,2560
RS,85669,TAQUARUÇU DO SUL,94,46.512680452594616,2563,1257,1306,2,0,0,0,966,0,0,0,1042,0,0,0,0,0,69,141
GO,96814,INDIARA,68,41.991036044536706,10598,5380,5218,2,0,0,0,3531,0,0,0,4236,0,0,0,0,0,139,616
AC,1473,TARAUACÁ,5,38.801939545614516,25576,12491,13085,2,0,0,0,5267,0,0,0,8292,0,0,0,0,0,167,368
SP,71072,SÃO PAULO,255,46.802817861487476,190713,103290,87112,1,1312,1515,19571,18638,13884,1409,2095,65074,8176,78,91,1986,98,4521,10974
RS,84859,SÃO JOÃO DA URTIGA,95,47.690582959641254,4014,1997,2017,1,17,6,121,1196,175,9,99,1511,81,1,0,5,1,197,149
