SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
AL,27154,BELÉM,28,41.44891576313594,4796,2477,2319,2,0,0,0,2511,0,0,0,684,0,0,0,0,0,68,157
BA,35394,IBIASSUCÊ,93,46.5768135747637,8781,4357,4415,1,8,20,564,3419,466,11,10,1276,57,4,0,18,2,88,485
SC,81345,TREVISO,92,43.99533856722277,4076,1978,2098,2,0,0,0,502,0,0,0,2680,0,0,0,0,0,49,143
AL,28436,POÇO DAS TRINCHEIRAS,50,39.4318970798448,9794,4888,4906,1,7,39,538,5217,201,9,244,482,18,4,7,20,2,103,368
MG,43133,CENTRAL DE MINAS,169,46.093765838824126,5919,3092,2823,1,5,34,156,1527,141,4,42,2003,37,8,0,7,0,89,254
MA,8630,PENALVA,45,43.07929396315322,25895,13466,12423,1,5,114,542,13119,117,23,148,1648,23,0,2,46,5,187,790
PE,24155,FREI MIGUELINHO,46,42.67365433906994,10924,5699,5225,2,0,0,0,6818,0,0,0,2150,0,0,0,0,0,125,410
RN,18619,SENADOR GEORGINO AVELINO,67,40.00289855072464,3450,1823,1627,1,11,19,394,1336,91,2,22,790,2,1,0,20,1,84,229
RN,17779,PARELHAS,24,42.808617965236415,16454,8575,7879,1,50,90,3335,2992,343,63,94,4795,122,5,4,62,7,333,1470
ES,56634,LINHARES,25,42.54586181456165,112502,58029,54322,2,0,0,0,26360,0,0,0,51015,0,0,0,0,0,2188,5036
RN,18716,SÍTIO NOVO,53,41.057479067662364,4419,2190,2229,1,7,9,561,2255,62,3,8,502,11,0,0,6,0,80,205
